Title,Authors,Institutes,Submission Date
Arithmetic Sampling: Parallel Diverse Decoding for Large Language Models,"['Luke Vilnis', 'Yury Zemlyanskiy', 'Patrick Murray', 'Alexandre Tachard Passos', 'Sumit Sanghai']","['Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found']","18 October, 2022"
When Personalization Harms Performance: Reconsidering the Use of Group Attributes in Prediction,"['Vinith Menon Suriyakumar', 'Marzyeh Ghassemi', 'Berk Ustun']","['Not Found', 'Not Found', 'Not Found']",Not Found
Data Feedback Loops: Model-driven Amplification of Dataset Biases,"['Rohan Taori', 'Tatsunori Hashimoto']","['Not Found', 'Not Found']",September 2022
Mimetic Initialization of Self-Attention Layers,"['Asher Trockman', 'J Zico Kolter']","['Not Found', 'Not Found']",May 2023
Uncertain Evidence in Probabilistic Models and Stochastic Simulators,"['Andreas Munk', 'Alexander Mead', 'Frank Wood']","['Not Found', 'Not Found', 'Not Found']","21 October, 2022"
Whose Opinions Do Language Models Reflect?,"['Shibani Santurkar', 'Esin Durmus', 'Faisal Ladhak', 'Cinoo Lee', 'Percy Liang', 'Tatsunori Hashimoto']","['Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found']",Not Found
Nonparametric Extensions of Randomized Response for Private Confidence Sets,"['Ian Waudby-Smith', 'Steven Wu', 'Aaditya Ramdas']","['Not Found', 'Not Found', 'Not Found']","17 February, 2022"
Cross-Modal Fine-Tuning: Align then Refine,"['Junhong Shen', 'Liam Li', 'Lucio M. Dery', 'Corey Staten', 'Mikhail Khodak', 'Graham Neubig', 'Ameet Talwalkar']","['Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found']","11 February, 2023"
Learning Mixtures of Markov Chains and MDPs,"['Chinmaya Kausik', 'Kevin Tan', 'Ambuj Tewari']","['Not Found', 'Not Found', 'Not Found']","17 November, 2022"
Tight Data Access Bounds for Private Top-$k$ Selection,"['Hao WU', 'Olga Ohrimenko', 'Anthony Wirth']","['Not Found', 'Not Found', 'Not Found']","30 January, 2023"
