Title,Authors,Institutes,Submission Date
TabWak: A Watermark for Tabular Diffusion Models,"['Chaoyi Zhu', 'Jiayi Tang', 'Jeroen M. Galjaard', 'Pin-Yu Chen', 'Robert Birke', 'Cornelis Bos', 'Lydia Y. Chen']","['Not Found', 'Computer Science,Delft University of Technology(student.tudelft.nl)', 'EEMCS / ST / DIS,Delft University of Technology(tudelft.nl)', 'International Business Machines(ibm.com)', 'Not Found', 'ME/MSE,Delft University of Technology(tudelft.nl)', 'Université de Neuchâtel(unine.ch)']",Not Found
Active Task Disambiguation with LLMs,"['Kasia Kobalczyk', 'Nicolás Astorga', 'Tennison Liu', 'Mihaela van der Schaar']","['Department of Applied Mathematics and Theoretical Physics,University of Cambridge(cam.ac.uk)', 'University of Cambridge(cam.ac.uk)', 'University of Cambridge(cam.ac.uk)', 'University of Cambridge(cam.ac.uk)']",February 2025
Surprising Effectiveness of pretraining Ternary  Language Model at Scale,"['Ayush Kaushal', 'Tejas Vaidhya', 'Arnab Kumar Mondal', 'Tejas Pandey', 'Aaryan Bhagat', 'Irina Rish']","['Mila Institute,Mila - Quebec Artificial Intelligence Institute(mila.quebec)', 'Mila - Quebec Artificial Intelligence Institute(mila.quebec)', 'Apple(apple.com)', 'Indian Institute of Technology Kharagpur(iitkgp.ac.in)', 'University of California, Riverside(ucr.edu)', 'DIRO,University of Montreal(mila.quebec)']","17 July, 2024"
Generating Freeform Endoskeletal Robots,"['Muhan Li', 'Lingji Kong', 'Sam Kriegman']","['Northwestern University(northwestern.edu)', 'Computer Science,Northwestern University, Northwestern University(u.northwestern.edu)', 'Northwestern University(northwestern.edu)']",December 2024
Understanding Factual Recall in Transformers via Associative Memories,"['Eshaan Nichani', 'Jason D. Lee', 'Alberto Bietti']","['Princeton University(princeton.edu)', 'Princeton University(princeton.edu)', 'Flatiron Institute(flatironinstitute.org)']",December 2024
Nesterov acceleration in benignly non-convex landscapes,"['Kanan Gupta', 'Stephan Wojtowytsch']","['Not Found', 'University of Pittsburgh(pitt.edu)']","10 October, 2024"
AnalogGenie: A Generative Engine for Automatic Discovery of Analog Circuit Topologies,"['Jian Gao', 'Weidong Cao', 'Junyi Yang', 'Xuan Zhang']","['ECE,Northeastern University(neu.edu)', 'ECE,George Washington University(gwu.edu)', 'Northeastern University(northeastern.edu)', 'Not Found']",March 2025
Probabilistic Geometric Principal Component Analysis with application to neural data,"['Han-Lin Hsieh', 'Maryam Shanechi']","['Electrical and Computer Engineering,University of Southern California(usc.edu)', 'University of Southern California(usc.edu)']",September 2025
DataEnvGym: Data Generation Agents in Teacher Environments with Student Feedback,"['Zaid Khan', 'Elias Stengel-Eskin', 'Jaemin Cho', 'Mohit Bansal']","['Computer Science,University of North Carolina at Chapel Hill(unc.edu)', 'Computer Science,University of Texas at Austin(utexas.edu)', 'Computer Science,Johns Hopkins University(jhu.edu)', 'University of North Carolina at Chapel Hill(unc.edu)']","8 October, 2024"
Correcting the Mythos of KL-Regularization: Direct Alignment without Overoptimization via Chi-Squared Preference Optimization,"['Audrey Huang', 'Wenhao Zhan', 'Tengyang Xie', 'Jason D. Lee', 'Wen Sun', 'Akshay Krishnamurthy', 'Dylan J Foster']","['Computer Science,University of Illinois at Urbana-Champaign(illinois.edu)', 'Princeton University(princeton.edu)', 'Department of Computer Science, University of Wisconsin - Madison(cs.wisc.edu)', 'Princeton University(princeton.edu)', 'Cornell University(cornell.edu)', 'Research, Microsoft(research.microsoft.com)', 'Microsoft Research(microsoft.com)']","18 July, 2024"
